w1;w2;cooc
cane;cane;1630
cane;gatto;2374
cane;furetto;29
cane;criceto;24
cane;coniglio;77
cane;pappagallo;27
cane;camaleonte;0
cane;iguana;19
cane;topo;118
cane;canarino;30
cane;mucca;55
cane;capra;30
cane;pecora;69
cane;maiale;81
cane;bufalo;1
cane;pollo;18
cane;vitello;8
cane;agnello;10
cane;asino;98
cane;cavallo;230
cane;elefante;27
cane;zebra;3
cane;ippopotamo;4
cane;scimmia;84
cane;giraffa;6
cane;antilopo;0
cane;leone;113
cane;rinoceronte;7
cane;leopardo;1
cane;coccodrillo;10
cane;delfino;9
cane;balena;11
cane;squalo;15
cane;medusa;5
cane;tricheco;0
cane;foca;6
cane;plancton;0
cane;merluzzo;2
cane;granchio;2
cane;tartaruga;46
cane;gufo;8
cane;corvo;11
cane;pettirosso;1
cane;albatro;0
cane;upupa;0
cane;gabbiano;7
cane;aquila;25
cane;anatra;10
cane;struzzo;6
cane;pinguino;5
cane;tavolo;30
cane;sedia;30
cane;divano;30
cane;scrivania;0
cane;armadio;4
cane;letto;178
cane;comodino;2
cane;sgabello;0
cane;poltrona;13
cane;scaffale;2
cane;martello;4
cane;trapano;1
cane;cacciavite;0
cane;chiodo;7
cane;ascia;55
cane;sega;2
cane;vite;98
cane;pinza;2
cane;scalpello;0
cane;cazzuola;0
cane;cucchiaio;1
cane;forchetta;2
cane;coltello;11
cane;piatto;32
cane;tazza;11
cane;pentola;3
cane;ciotola;59
cane;padella;5
cane;mattarello;0
cane;tagliere;0
cane;penna;5
cane;matita;0
cane;gomma;8
cane;carta;35
cane;busta;5
cane;evidenziatore;0
cane;righello;1
cane;pennello;3
cane;colla;13
cane;graffetta;0
cane;telefono;38
cane;radio;123
cane;computer;30
cane;frigorifero;3
cane;lavatrice;7
cane;lavastoviglie;1
cane;camera;37
cane;aspirapolvere;2
cane;microonda;0
cane;televisione;25
gatto;cane;2374
gatto;gatto;950
gatto;furetto;25
gatto;criceto;23
gatto;coniglio;79
gatto;pappagallo;17
gatto;camaleonte;0
gatto;iguana;4
gatto;topo;729
gatto;canarino;48
gatto;mucca;12
gatto;capra;12
gatto;pecora;17
gatto;maiale;25
gatto;bufalo;3
gatto;pollo;13
gatto;vitello;2
gatto;agnello;30
gatto;asino;54
gatto;cavallo;71
gatto;elefante;50
gatto;zebra;3
gatto;ippopotamo;2
gatto;scimmia;28
gatto;giraffa;17
gatto;antilopo;0
gatto;leone;109
gatto;rinoceronte;3
gatto;leopardo;13
gatto;coccodrillo;18
gatto;delfino;10
gatto;balena;9
gatto;squalo;6
gatto;medusa;0
gatto;tricheco;0
gatto;foca;2
gatto;plancton;1
gatto;merluzzo;0
gatto;granchio;3
gatto;tartaruga;31
gatto;gufo;14
gatto;corvo;12
gatto;pettirosso;2
gatto;albatro;1
gatto;upupa;0
gatto;gabbiano;14
gatto;aquila;28
gatto;anatra;11
gatto;struzzo;6
gatto;pinguino;8
gatto;tavolo;41
gatto;sedia;44
gatto;divano;38
gatto;scrivania;8
gatto;armadio;13
gatto;letto;154
gatto;comodino;2
gatto;sgabello;0
gatto;poltrona;47
gatto;scaffale;1
gatto;martello;1
gatto;trapano;0
gatto;cacciavite;0
gatto;chiodo;4
gatto;ascia;18
gatto;sega;3
gatto;vite;60
gatto;pinza;0
gatto;scalpello;1
gatto;cazzuola;0
gatto;cucchiaio;4
gatto;forchetta;0
gatto;coltello;0
gatto;piatto;34
gatto;tazza;15
gatto;pentola;4
gatto;ciotola;18
gatto;padella;3
gatto;mattarello;0
gatto;tagliere;0
gatto;penna;27
gatto;matita;13
gatto;gomma;5
gatto;carta;34
gatto;busta;5
gatto;evidenziatore;0
gatto;righello;0
gatto;pennello;5
gatto;colla;17
gatto;graffetta;0
gatto;telefono;17
gatto;radio;10
gatto;computer;27
gatto;frigorifero;13
gatto;lavatrice;12
gatto;lavastoviglie;0
gatto;camera;22
gatto;aspirapolvere;10
gatto;microonda;0
gatto;televisione;8
furetto;cane;29
furetto;gatto;25
furetto;furetto;18
furetto;criceto;3
furetto;coniglio;14
furetto;pappagallo;1
furetto;camaleonte;1
furetto;iguana;1
furetto;topo;2
furetto;canarino;0
furetto;mucca;0
furetto;capra;1
furetto;pecora;0
furetto;maiale;0
furetto;bufalo;0
furetto;pollo;0
furetto;vitello;0
furetto;agnello;0
furetto;asino;0
furetto;cavallo;1
furetto;elefante;2
furetto;zebra;0
furetto;ippopotamo;0
furetto;scimmia;1
furetto;giraffa;0
furetto;antilopo;0
furetto;leone;0
furetto;rinoceronte;0
furetto;leopardo;0
furetto;coccodrillo;1
furetto;delfino;0
furetto;balena;0
furetto;squalo;0
furetto;medusa;0
furetto;tricheco;0
furetto;foca;1
furetto;plancton;0
furetto;merluzzo;0
furetto;granchio;0
furetto;tartaruga;1
furetto;gufo;0
furetto;corvo;0
furetto;pettirosso;0
furetto;albatro;0
furetto;upupa;0
furetto;gabbiano;0
furetto;aquila;1
furetto;anatra;0
furetto;struzzo;0
furetto;pinguino;0
furetto;tavolo;0
furetto;sedia;1
furetto;divano;0
furetto;scrivania;0
furetto;armadio;0
furetto;letto;2
furetto;comodino;0
furetto;sgabello;0
furetto;poltrona;0
furetto;scaffale;0
furetto;martello;0
furetto;trapano;0
furetto;cacciavite;0
furetto;chiodo;0
furetto;ascia;0
furetto;sega;0
furetto;vite;0
furetto;pinza;0
