Condition	time point	p-value	t-value
correct	0.4787109375	0.026666666666666727	1.9398891657341626
correct	0.48359375	0.00666666666666671	2.4895647421707716
correct	0.4884765625	0.00666666666666671	2.4895647421707716
correct	0.493359375	0.010000000000000009	2.33888392484682
correct	0.4982421875	0.013333333333333308	2.227371488366429
correct	0.503125	0.026666666666666727	1.9398891657341626
correct	0.5470703125	0.010000000000000009	2.33888392484682
correct	0.551953125	0.0033333333333332993	2.7321419372217384
correct	0.5568359375	0.0	inf
correct	0.56171875	0.0033333333333332993	2.7321419372217384
correct	0.5666015625	0.01666666666666672	2.1379265281322697
correct	0.571484375	0.033333333333333326	1.840629407786611
correct	0.5763671875	0.030000000000000027	1.8879558102266485
correct	0.58125	0.013333333333333308	2.227371488366429
correct	0.5861328125	0.020000000000000018	2.0627472420429416
correct	0.591015625	0.01666666666666672	2.1379265281322697
correct	0.5958984375	0.030000000000000027	1.8879558102266485
correct	0.60078125	0.040000000000000036	1.756656458005156
correct	0.6544921875	0.026666666666666727	1.9398891657341626
correct	0.659375	0.030000000000000027	1.8879558102266485
correct	0.6642578125	0.023333333333333317	1.997592229195553
correct	0.669140625	0.010000000000000009	2.33888392484682
correct	0.6740234375	0.010000000000000009	2.33888392484682
correct	0.67890625	0.010000000000000009	2.33888392484682
correct	0.6837890625	0.020000000000000018	2.0627472420429416
correct	0.747265625	0.00666666666666671	2.4895647421707716
correct	0.7521484375	0.00666666666666671	2.4895647421707716
correct	0.75703125	0.010000000000000009	2.33888392484682
correct	0.7619140625	0.013333333333333308	2.227371488366429
correct	0.766796875	0.013333333333333308	2.227371488366429
correct	0.7716796875	0.020000000000000018	2.0627472420429416
correct	0.7765625	0.033333333333333326	1.840629407786611
correct	1.001171875	0.036666666666666736	1.797071423179137
correct	1.0744140625	0.033333333333333326	1.840629407786611
