Condition	time point	p-value	t-value
correct	-0.06328125000000001	0.005319148936170248	2.570527506895562
correct	0.4640625	0.005319148936170248	2.570527506895562
correct	0.56171875	0.0478723404255319	1.6711177917647917
correct	0.60078125	0.02659574468085113	1.941051945852268
correct	0.610546875	0.005319148936170248	2.570527506895562
correct	0.6203125	0.0	inf
correct	0.630078125	0.005319148936170248	2.570527506895562
correct	0.63984375	0.015957446808510745	2.15557193128891
correct	0.669140625	0.0478723404255319	1.6711177917647917
correct	0.727734375	0.037234042553191515	1.7899850838976925
correct	0.747265625	0.03191489361702127	1.8602648292292323
