Condition	time point	p-value	t-value
correct	-0.1609375	0.010638297872340385	2.3152405920443933
correct	-0.11210937500000001	0.037234042553191515	1.7899850838976925
correct	-0.05351562500000001	0.0	inf
correct	-0.04375000000000001	0.005319148936170248	2.570527506895562
correct	0.06367187499999999	0.0	inf
correct	0.12226562499999999	0.0	inf
correct	0.13203125	0.0	inf
correct	0.141796875	0.0	inf
correct	0.190625	0.02659574468085113	1.941051945852268
correct	0.200390625	0.02659574468085113	1.941051945852268
correct	0.2296875	0.037234042553191515	1.7899850838976925
correct	0.239453125	0.015957446808510745	2.15557193128891
correct	0.24921875	0.021276595744680882	2.036775783072946
correct	0.28828125	0.037234042553191515	1.7899850838976925
correct	0.3078125	0.0478723404255319	1.6711177917647917
correct	0.317578125	0.02659574468085113	1.941051945852268
correct	0.346875	0.005319148936170248	2.570527506895562
correct	0.356640625	0.015957446808510745	2.15557193128891
