DOMAIN	CATEGORY	CONCEPT (IT)	CONCEPT	Length (IT)	Length	n_Syllabes (IT)	Word_Fr (IT_COLFIS)	LN_Word_Fr	Familiarity_Rating	Typicality_Rating	Exempl_Dominance	Exempl_M_Rank	Exempl_1°Occur	Exempl_Availability	n_Subj	n_Feat	sum_Prod_Fr	M_Prod_Fr	Domin	n_Feat_NoTax	Prod_Fr_NoTax	M_Prod_Fr_NoTax	n_Disting_Feat	%_Disting_Feat	n_Disting_Feat_NoTax	%_Disting_Feat_NoTax	M_Distinctiveness	M_Distinctiveness_NoTax	M_Cue_Val	M_Cue_Val_NoTax	n_Corr_Pairs	n_poss_Corr_Pairs	%_Corr_Pairs	n_Corr_Pairs_NoTax	n_poss_Corr_Pairs_NoTax	%_Corr_Pairs_NoTax	Intercorr_Density	M_Intercorr_Density	Intercorr_Density_NoTax	M_Intercorr_Density_NoTax	M_Relevance	M_Relevance_NoTax	M_Significance	M_Significance_NoTax	n_Sens_Feat	n_Funct_Feat	n_Encyc_Feat	n_Taxon_Feat	%_Sens_Feat	%_Funct_Feat	%_Encyc_Feat	%_Taxon_Feat	%_Sens_Feat_NoTax	%_Funct_Feat_NoTax	%_Encyc_Feat_NoTax	n_Sens_Feat(Garrard)	n_Funct_Feat(Garrard)	n_Encyc_Feat(Garrard)	n_Taxon_Feat(Garrard)	%_Sens_Feat(Garrard)	%_Funct_Feat(Garrard)	%_Encyc_Feat(Garrard)	%_Taxon_Feat(Garrard)	%_Sens_Feat_NoTax(Garrard)	%_Funct_Feat_NoTax(Garrard)	%_Encyc_Feat_NoTax(Garrard)	M_Cos_Domin	M_Euc_Domin	M_City_Domin	M_Cos_Binary	M_Euc_Binary	M_City_Binary	n_Neighb	M_Cos_Near_Neighb
Artifacts	stationary	evidenziatore	marker	13	6	6	1	0.00	7.13	7.33	0.45	4.75	1	0.16	26	11	93	8.45	0.33	11	93	8.45	3	27%	3	27%	0.42	0.42	0.37	0.37	4	15	27%	4	15	27%	44%	11%	44%	11%	10.59	10.59	14.24	14.24	6	3	2	0	55%	27%	18%	0%	55%	27%	18%	6	3	2	0	55%	27%	18%	0%	55%	27%	18%	0.94	1.74	7.38	0.93	4.82	23.56	61	0.61
Artifacts	stationary	foglio	sheet	6	5	2	150	5.01	8.13	9.13	0.34	3.76	3	0.17	26	11	103	9.36	0.36	11	103	9.36	1	9%	1	9%	0.31	0.31	0.30	0.30	7	28	25%	7	28	25%	129%	18%	129%	18%	10.82	10.82	14.24	14.24	9	2	0	0	82%	18%	0%	0%	82%	18%	0%	9	2	0	0	82%	18%	0%	0%	82%	18%	0%	0.93	1.77	7.65	0.92	4.79	23.29	78	0.65
Artifacts	stationary	gomma	rubber	5	6	2	91	4.51	8.03	8.53	0.87	3.50	9	0.45	26	11	86	7.82	0.30	11	86	7.82	2	18%	2	18%	0.34	0.34	0.34	0.34	4	21	19%	4	21	19%	45%	11%	45%	11%	9.48	9.48	13.58	13.58	7	3	1	0	64%	27%	9%	0%	64%	27%	9%	7	3	1	0	64%	27%	9%	0%	64%	27%	9%	0.95	1.71	7.09	0.93	4.82	23.51	62	0.72
Artifacts	stationary	graffetta	clip	9	4	3	1	0.00	7.03	6.87	0.24	6.27	0	0.05	25	9	84	9.33	0.37	9	84	9.33	1	11%	1	11%	0.19	0.19	0.21	0.21	10	28	36%	10	28	36%	134%	13%	134%	13%	9.54	9.54	11.64	11.64	6	1	2	0	67%	11%	22%	0%	67%	11%	22%	6	1	2	0	67%	11%	22%	0%	67%	11%	22%	0.92	1.71	6.98	0.88	4.51	20.68	90	0.50
Artifacts	stationary	matita	pencil	6	6	3	45	3.81	8.67	9.17	0.87	2.50	10	0.54	26	9	96	10.67	0.41	9	96	10.67	3	33%	3	33%	0.44	0.44	0.49	0.49	10	15	67%	10	15	67%	202%	20%	202%	20%	12.24	12.24	15.69	15.69	6	2	1	0	67%	22%	11%	0%	67%	22%	11%	6	2	1	0	67%	22%	11%	0%	67%	22%	11%	0.93	1.78	7.42	0.93	4.64	21.91	58	0.65
Artifacts	stationary	pastello	pastel	8	6	3	615	6.42	6.50	7.13	0.39	5.58	0	0.10	26	10	97	9.70	0.37	9	93	10.33	3	30%	2	22%	0.42	0.35	0.39	0.33	10	21	48%	10	21	48%	192%	19%	192%	19%	11.62	12.10	14.58	14.47	4	3	2	1	40%	30%	20%	10%	44%	33%	22%	4	3	2	1	40%	30%	20%	10%	44%	33%	22%	0.92	1.81	7.46	0.94	4.74	22.84	59	0.66
Artifacts	stationary	penna	pen	5	3	2	80	4.38	9.63	9.73	0.97	2.03	30	0.73	25	12	113	9.42	0.38	10	102	10.20	4	33%	2	20%	0.47	0.36	0.48	0.38	8	21	38%	8	21	38%	94%	12%	94%	12%	12.49	12.88	16.26	16.07	8	1	1	2	67%	8%	8%	17%	80%	10%	10%	8	1	1	2	67%	8%	8%	17%	80%	10%	10%	0.94	1.90	8.28	0.94	4.95	24.89	50	0.72
Artifacts	stationary	quaderno	copybook	8	8	3	18	2.89	8.57	8.70	0.53	4.30	6	0.24	25	12	139	11.58	0.46	12	139	11.58	3	25%	3	25%	0.42	0.42	0.44	0.44	11	21	52%	11	21	52%	183%	17%	183%	17%	14.79	14.79	16.87	16.87	8	3	1	0	67%	25%	8%	0%	67%	25%	8%	8	3	1	0	67%	25%	8%	0%	67%	25%	8%	0.93	2.05	9.18	0.91	4.87	24.11	80	0.63
Artifacts	stationary	righello	ruler	8	5	3	119	4.78	6.37	7.00	0.29	5.89	0	0.06	25	12	92	7.67	0.31	12	92	7.67	6	50%	6	50%	0.59	0.59	0.58	0.58	3	10	30%	3	10	30%	48%	16%	48%	16%	11.40	11.40	15.38	15.38	6	5	1	0	50%	42%	8%	0%	50%	42%	8%	6	5	1	0	50%	42%	8%	0%	50%	42%	8%	0.95	1.65	7.50	0.94	4.95	24.81	56	0.77
Artifacts	stationary	scolorina	ink_remover	9	11	4	1	0.00	6.23	6.17	0.23	5.57	0	0.06	26	12	99	8.25	0.32	12	99	8.25	6	50%	6	50%	0.67	0.67	0.67	0.67	0	3	0%	0	3	0%	0%	0%	0%	0%	12.63	12.63	18.17	18.17	4	4	4	0	33%	33%	33%	0%	33%	33%	33%	4	4	4	0	33%	33%	33%	0%	33%	33%	33%	0.97	1.79	7.84	0.98	5.04	25.76	18	0.86
