DOMAIN	CATEGORY	CONCEPT (IT)	CONCEPT	FEATURE (IT)	FEATURE	Main_Feat_Type	Det_Feat_Type	Feat_Type(Garrard)	n_Subj	Prod_Fr	Cum_Prod_Fr	Domin	M_Prod_Ord	M_Prod_Cent	Access	Disting	n_Concepts	Distinctiveness	Cue_Val	n_Correl	n_poss_Correl	%_Correl	n_Correl_NoTax	n_poss_Correl_NoTax	%_Correl_NoTax	Intercorr_Str	M_Intercorr_Str	Intercorr_Str_NoTax	M_Intercorr_Str_NoTax	Relevance	Significance
Artifacts	stationary	evidenziatore	marker	di diversi colori	different colors	sensorial	visual-color	sensorial	26	23	279	0.88	2.91	0.73	0.79	ND	34	0.03	0.08	2	5	0.40	2	5	0.40	0.17	0.09	0.17	0.09	11.16	9.99
Artifacts	stationary	evidenziatore	marker	fatto di plastica	made of plastic	sensorial	visual-form_surface	sensorial	26	4	179	0.15	4.50	0.51	0.31	ND	19	0.05	0.02	1	5	0.20	1	5	0.20	0.12	0.12	0.12	0.12	2.84	5.71
Artifacts	stationary	evidenziatore	marker	fluorescente	fluorescent	sensorial	visual-color	sensorial	26	13	13	0.50	4.62	0.61	0.55	D	1	1.00	1.00											23.94	26.49
Artifacts	stationary	evidenziatore	marker	ha punta	has a point	sensorial	visual-form_surface	sensorial	26	7	57	0.27	3.14	0.75	0.45	ND	7	0.14	0.12	2	5	0.40	2	5	0.40	0.23	0.11	0.23	0.11	7.65	12.93
Artifacts	stationary	evidenziatore	marker	ha tappo	has a cap	sensorial	visual-form_surface	sensorial	26	5	14	0.19	6.00	0.34	0.26	ND	2	0.50	0.36											7.87	10.68
Artifacts	stationary	evidenziatore	marker	piccolo	small	sensorial	visual-form_surface	sensorial	26	4	138	0.15	3.00	0.64	0.35	ND	24	0.04	0.03	0	5	0.00	0	5	0.00	0.00	0.00	0.00	0.00	2.48	5.61
Artifacts	stationary	evidenziatore	marker	si trova in ufficio	found in offices	encyclopedic	encyclopedic	encyclopedic	26	4	28	0.15	5.50	0.36	0.25	ND	5	0.20	0.14	1	5	0.20	1	5	0.20	0.15	0.15	0.15	0.15	4.89	7.99
Artifacts	stationary	evidenziatore	marker	usato per evidenziare	used to highlight	functional	functional	functional	26	12	12	0.46	2.75	0.74	0.58	D	1	1.00	1.00											22.10	27.69
Artifacts	stationary	evidenziatore	marker	usato per sottolineare	used to underline	functional	functional	functional	26	12	12	0.46	3.50	0.68	0.56	D	1	1.00	1.00											22.10	26.63
Artifacts	stationary	evidenziatore	marker	usato per studiare	used to study	functional	functional	functional	26	4	19	0.15	3.50	0.63	0.35	ND	2	0.50	0.21											6.30	14.22
Artifacts	stationary	evidenziatore	marker	utile	useful	encyclopedic	encyclopedic	encyclopedic	26	5	37	0.19	3.60	0.48	0.32	ND	8	0.13	0.14	2	5	0.40	2	5	0.40	0.22	0.11	0.22	0.11	5.21	8.69
Artifacts	stationary	foglio	sheet	a quadretti	squared	sensorial	visual-form_surface	sensorial	26	7	25	0.27	3.29	0.73	0.45	ND	2	0.50	0.28											11.02	18.37
Artifacts	stationary	foglio	sheet	a righe	striped	sensorial	visual-form_surface	sensorial	26	9	35	0.35	4.11	0.61	0.46	ND	3	0.33	0.26	4	7	0.57	4	7	0.57	0.56	0.14	0.56	0.14	12.77	17.08
Artifacts	stationary	foglio	sheet	bianco	white	sensorial	visual-color	sensorial	26	18	105	0.69	2.11	0.85	0.76	ND	10	0.10	0.17	0	7	0.00	0	7	0.00	0.00	0.00	0.00	0.00	17.20	18.86
Artifacts	stationary	foglio	sheet	di diversi colori	different colors	sensorial	visual-color	sensorial	26	13	279	0.50	3.46	0.64	0.57	ND	34	0.03	0.05	3	7	0.43	3	7	0.43	0.46	0.15	0.46	0.15	6.31	7.13
Artifacts	stationary	foglio	sheet	è stropicciato	is crinkled	sensorial	visual-form_surface	sensorial	26	4	4	0.15	6.75	0.36	0.25	D	1	1.00	1.00											7.37	11.99
Artifacts	stationary	foglio	sheet	fatto di carta	made of paper	sensorial	visual-form_surface	sensorial	26	13	18	0.50	2.46	0.74	0.60	ND	2	0.50	0.72											20.47	24.63
Artifacts	stationary	foglio	sheet	grande	big	sensorial	visual-form_surface	sensorial	26	5	282	0.19	4.00	0.54	0.34	ND	48	0.02	0.02	1	7	0.14	1	7	0.14	0.08	0.08	0.08	0.08	1.76	3.13
Artifacts	stationary	foglio	sheet	rettangolare	rectangular	sensorial	visual-form_surface	sensorial	26	5	43	0.19	3.60	0.58	0.36	ND	7	0.14	0.12	0	7	0.00	0	7	0.00	0.00	0.00	0.00	0.00	5.46	10.16
Artifacts	stationary	foglio	sheet	sottile	thin	sensorial	visual-form_surface	sensorial	26	6	20	0.23	4.00	0.55	0.37	ND	3	0.33	0.30	0	7	0.00	0	7	0.00	0.00	0.00	0.00	0.00	8.51	13.68
Artifacts	stationary	foglio	sheet	usato per disegnare	used to draw	functional	functional	functional	26	6	52	0.23	5.00	0.52	0.36	ND	5	0.20	0.12	3	7	0.43	3	7	0.43	0.61	0.20	0.61	0.20	7.33	11.39
Artifacts	stationary	foglio	sheet	usato per scrivere	used to write	functional	functional	functional	26	17	77	0.65	3.82	0.62	0.64	ND	5	0.20	0.22	3	7	0.43	3	7	0.43	0.85	0.28	0.85	0.28	20.78	20.21
Artifacts	stationary	gomma	rubber	bianco	white	sensorial	visual-color	sensorial	26	13	105	0.50	2.00	0.84	0.63	ND	10	0.10	0.12	1	6	0.17	1	6	0.17	0.07	0.07	0.07	0.07	12.42	15.61
Artifacts	stationary	gomma	rubber	di diverse forme	different shapes	sensorial	visual-form_surface	sensorial	26	4	67	0.15	3.50	0.66	0.35	ND	13	0.08	0.06	2	6	0.33	2	6	0.33	0.17	0.08	0.17	0.08	3.42	7.87
Artifacts	stationary	gomma	rubber	di diversi colori	different colors	sensorial	visual-color	sensorial	26	9	279	0.35	3.44	0.63	0.47	ND	34	0.03	0.03	1	6	0.17	1	6	0.17	0.22	0.22	0.22	0.22	4.37	5.93
Artifacts	stationary	gomma	rubber	fatto di gomma	made of rubber	sensorial	visual-form_surface	sensorial	26	4	4	0.15	1.50	0.92	0.40	D	1	1.00	1.00											7.37	19.11
Artifacts	stationary	gomma	rubber	morbido	soft	sensorial	tactile	sensorial	26	6	49	0.23	2.67	0.67	0.41	ND	7	0.14	0.12	1	6	0.17	1	6	0.17	0.07	0.07	0.07	0.07	6.56	11.57
Artifacts	stationary	gomma	rubber	piccolo	small	sensorial	visual-form_surface	sensorial	26	6	138	0.23	3.17	0.66	0.41	ND	24	0.04	0.04	0	6	0.00	0	6	0.00	0.00	0.00	0.00	0.00	3.71	6.53
Artifacts	stationary	gomma	rubber	rotondo	round	sensorial	visual-form_surface	sensorial	26	4	58	0.15	3.75	0.58	0.33	ND	9	0.11	0.07	1	6	0.17	1	6	0.17	0.10	0.10	0.10	0.10	3.99	8.58
Artifacts	stationary	gomma	rubber	si trova nello astuccio	found in cases	encyclopedic	encyclopedic	encyclopedic	26	6	23	0.23	6.17	0.36	0.29	ND	4	0.25	0.26	2	6	0.33	2	6	0.33	0.28	0.14	0.28	0.14	7.85	9.88
Artifacts	stationary	gomma	rubber	usato per cancellare	used to delete	functional	functional	functional	26	24	45	0.92	2.50	0.76	0.82	ND	2	0.50	0.53											37.79	33.54
Artifacts	stationary	gomma	rubber	usato per cancellare errori	used to delete errors	functional	functional	functional	26	6	11	0.23	4.17	0.59	0.38	ND	2	0.50	0.55											9.45	15.68
Artifacts	stationary	gomma	rubber	usato per cancellare matita	used to delete pencil	functional	functional	functional	26	4	4	0.15	5.00	0.53	0.31	D	1	1.00	1.00											7.37	15.03
Artifacts	stationary	graffetta	clip	di diversi colori	different colors	sensorial	visual-color	sensorial	25	16	279	0.64	2.69	0.73	0.68	ND	34	0.03	0.06	1	7	0.14	1	7	0.14	0.06	0.06	0.06	0.06	8.07	8.59
