Concept(EN)	ConceptClass	Concept(IT)	ConceptLemma	FreqWaCKy	logFreqWaCKy	No.Letters	No.Syllables	No.Features	No.DistinguishingFeatures	Percent.DistinguishingFeatures	MeanDistinctivenessAcrossFeatures	MeanCueValidity	No.IntercorrelatedFeatures	Percent.IntercorrelatedFeatures	IntercorrelationalDensity
airplane	vehicle	aeroplano	aeroplano	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414
apple	fruit	mela	mela	23296	10.0560369509964	4	2	9	2	0.222222	0.297354	0.445015	21	0.583333	6.1985414916632
armchair	furniture	poltrona	poltrona	17608	9.7761086232063	8	3	7	6	0.857143	0.671429	0.826349	6	1.000000	2.24172809732236
bear	mammal	orso	orso	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578
bed	furniture	letto	letto	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331
bridge	building	ponte	ponte	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175
broom	implement	scopa	scopa	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714
bus	vehicle	autobus	autobus	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576
chair	furniture	sedia	sedia	27519	10.2226319541778	5	2	9	4	0.444444	0.495503	2.393977	12	0.800000	2.41719403338408
chemise	clothing	camicia	camicia	15531	9.65059330557001	7	3	8	7	0.875000	0.900000	3.492233	3	1.000000	1.5591580919043
cherry	fruit	ciliegia	ciliegia	5951	8.69131455164485	8	3	10	4	0.400000	0.453333	5.242933	15	0.714286	4.80619947514975
church	building	chiesa	chiesa	377345	12.8409151673271	6	2	9	6	0.666667	0.753086	4.575269	0	0.000000	0
closet	furniture	armadio	armadio	10816	9.28878179828274	7	3	10	6	0.600000	0.626111	4.072561	12	0.800000	4.56415894353311
comb	implement	pettine	pettine	3239	8.08301991917133	7	3	6	3	0.500000	0.607143	5.120609	5	0.833333	1.06743462542736
corn	vegetable	mais	mais	14128	9.55591392284374	4	1	10	7	0.700000	0.620000	6.484619	3	0.500000	0.855127775430865
dog	mammal	cane	cane	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346
eye	body_part	occhio	occhio	322303	12.6832473758583	6	2	9	5	0.555556	0.649206	7.063156	2	0.333333	0.623728887235515
finger	body_part	dito	dito	49952	10.8188178233152	4	2	10	9	0.900000	0.870000	6.827818	2	0.666667	0.411751370123403
garage	building	garage	garage	10962	9.30219002560606	6	2	7	6	0.857143	0.833333	7.179080	0	0.000000	0
goose	bird	oca	oca	8114	9.00134624376639	3	2	10	6	0.600000	0.621667	5.825567	4	0.400000	1.75028103444529
hand	body_part	mano	mano	456379	13.0310788836415	4	2	6	4	0.666667	0.672222	8.940513	2	0.666667	0.791806641701381
head	body_part	testa	testa	201326	12.2126807637444	5	2	10	9	0.900000	0.920000	8.543785	0	0.000000	0
horse	mammal	cavallo	cavallo	84651	11.3462922008406	7	3	13	8	0.615385	0.473932	5.853095	10	0.476190	2.29827241703376
jacket	clothing	giacca	giacca	13814	9.53343784964892	6	2	7	3	0.428571	0.410884	5.417635	9	0.600000	2.52137207575778
leg	body_part	gamba	gamba	59807	10.9988779899443	5	2	11	9	0.818182	0.866667	9.932513	10	1.000000	5.95614298257164
monkey	mammal	scimmia	scimmia	11215	9.32500744695431	7	2	8	5	0.625000	0.589583	8.514760	5	0.833333	2.60424410607694
onion	vegetable	cipolla	cipolla	19888	9.89787181375049	7	3	8	4	0.500000	0.504167	9.608143	3	0.300000	0.953794844651085
orange	fruit	arancia	arancia	11538	9.35340121481683	7	3	12	9	0.750000	0.725000	9.589885	18	0.857143	6.01426030863259
owl	bird	gufo	gufo	3116	8.04430540699064	4	2	9	5	0.555556	0.564197	9.858272	4	0.400000	0.978886991108779
paintbrush	implement	pennello	pennello	7098	8.86756833320644	8	3	10	6	0.600000	0.639286	12.430169	12	0.800000	2.97910426099684
pear	fruit	pera	pera	17608	9.7761086232063	4	2	9	3	0.333333	0.401852	8.170706	16	0.571429	4.17282428927958
peas	vegetable	piselli	pisello	5043	8.52575642207673	7	3	8	3	0.375000	0.400000	14.603741	12	0.800000	3.74686204669338
pineapple	fruit	ananas	ananas	2777	7.9291264873068	6	3	8	6	0.750000	0.639583	11.474866	6	1.000000	1.25392724370267
potato	vegetable	patata	patata	21026	9.95351504613578	6	3	12	9	0.750000	0.613889	9.944647	6	0.400000	1.79364332524639
rabbit	mammal	coniglio	coniglio	11987	9.3915780082071	8	3	11	7	0.636364	0.449351	11.071597	7	0.333333	3.09516237788338
seagull	bird	gabbiano	gabbiano	8238	9.01651287499603	8	3	8	5	0.625000	0.547917	9.682802	9	0.600000	3.02255069374355
ship	vehicle	nave	nave	83412	11.3315474628885	4	2	12	7	0.583333	0.581482	8.989903	16	0.761905	5.88179925338611
shoes	clothing	scarpe	scarpa	37436	10.5303880872771	6	2	9	7	0.777778	0.649206	12.044588	1	0.333333	0.135288820022841
skyscraper	building	grattacielo	grattacielo	6978	8.85051762174672	11	4	7	5	0.714286	0.738095	16.712169	3	1.000000	1.8148525660936
socks	clothing	calzini	calzino	2804	7.93880224815448	7	3	9	6	0.666667	0.560317	13.799191	7	0.700000	1.31549986361391
sparrow	bird	passero	Passero	395	5.97888576490112	7	3	11	6	0.545455	0.542424	12.359405	21	0.750000	5.99215852353144
spinach	vegetable	spinaci	spinaco	2241	7.71467747380093	7	3	6	3	0.500000	0.477778	18.887122	6	1.000000	2.3725287036469
sweater	clothing	pullover	pullover	281	5.63835466933375	8	3	7	5	0.714286	0.620408	12.354871	13	0.866667	5.88121581657505
sword	implement	spada	spada	38346	10.5544054988783	5	2	16	12	0.750000	0.748512	13.935861	24	0.857143	7.61301389592617
table	furniture	tavolo	tavolo	86899	11.3725018037074	6	3	10	5	0.500000	0.545952	12.612951	11	0.733333	2.49941174538591
tongs	implement	pinze	pinza	4545	8.42178300661158	5	2	7	5	0.714286	0.556122	16.649328	6	1.000000	2.38902789843254
tower	building	torre	torre	47413	10.7666517316837	5	2	8	6	0.750000	0.770833	13.111149	3	1.000000	1.8148525660936
train	vehicle	treno	treno	77220	11.2544137698182	5	2	11	6	0.500000	0.495833	14.469578	18	0.642857	6.60154744594788
truck	vehicle	camion	camion	15534	9.65078644897959	6	2	8	3	0.375000	0.320139	21.990479	13	0.866667	4.48484166248866
woodpecker	bird	picchio	picchio	1057	6.96318998587024	7	2	10	6	0.600000	0.613333	14.382857	6	0.600000	1.82173660388097
