Concept(EN)	ConceptClass	Concept(IT)	Prod.Frequency	Rank	Feature	RelationType	FreqWaCKy	logFreqWaCKy	No.Letters	No.Syllables	No.Features	No.DistinguishingFeatures	Percent.DistinguishingFeatures	MeanDistinctivenessAcrossFeatures	MeanCueValidity	No.IntercorrelatedFeatures	Percent.IntercorrelatedFeatures	IntercorrelationalDensity	(Non)Distinguishing	Distinctiveness
airplane	vehicle	aeroplano	28	1	a_vehicle	ch	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	ND	0.2
airplane	vehicle	aeroplano	26	2	used_for_transportation	sf	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	ND	0.166667
airplane	vehicle	aeroplano	17	3	flies	sf	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	D	1
airplane	vehicle	aeroplano	14	4	used_for_long_travel	sf	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	D	1
airplane	vehicle	aeroplano	12	5	travels_in_the_sky	sl	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	D	1
airplane	vehicle	aeroplano	7	6	has_2_wings	ece	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	D	1
airplane	vehicle	aeroplano	7	6	has_wings	ece	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	D	0.5
airplane	vehicle	aeroplano	7	6	used_by_passengers	sp	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	ND	0.25
airplane	vehicle	aeroplano	6	7	has_an_engine	eci	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	D	0.5
airplane	vehicle	aeroplano	6	7	is_fast	iep	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	ND	0.333333
airplane	vehicle	aeroplano	6	7	is_large	ese	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	ND	0.111111
airplane	vehicle	aeroplano	5	8	used_for_cargo	se	3366	8.12148037475075	9	5	12	6	0.500000	0.525926	0.230193	36	0.800000	10.8917515341414	ND	0.25
apple	fruit	mela	33	1	a_fruit	ch	23296	10.0560369509964	4	2	9	2	0.222222	0.297354	0.445015	21	0.583333	6.1985414916632	ND	0.2
apple	fruit	mela	21	2	is_red	ese	23296	10.0560369509964	4	2	9	2	0.222222	0.297354	0.445015	21	0.583333	6.1985414916632	ND	0.333333
apple	fruit	mela	19	3	is_green	ese	23296	10.0560369509964	4	2	9	2	0.222222	0.297354	0.445015	21	0.583333	6.1985414916632	ND	0.25
apple	fruit	mela	18	4	is_yellow	ese	23296	10.0560369509964	4	2	9	2	0.222222	0.297354	0.445015	21	0.583333	6.1985414916632	ND	0.25
apple	fruit	mela	16	5	is_edible	sa	23296	10.0560369509964	4	2	9	2	0.222222	0.297354	0.445015	21	0.583333	6.1985414916632	D	0.0833333
apple	fruit	mela	16	5	is_round	ese	23296	10.0560369509964	4	2	9	2	0.222222	0.297354	0.445015	21	0.583333	6.1985414916632	ND	0.166667
apple	fruit	mela	12	6	different_colours	ese	23296	10.0560369509964	4	2	9	2	0.222222	0.297354	0.445015	21	0.583333	6.1985414916632	ND	0.142857
apple	fruit	mela	10	7	grows_on_trees	sl	23296	10.0560369509964	4	2	9	2	0.222222	0.297354	0.445015	21	0.583333	6.1985414916632	ND	0.25
apple	fruit	mela	6	8	is_healthy	iep	23296	10.0560369509964	4	2	9	2	0.222222	0.297354	0.445015	21	0.583333	6.1985414916632	D	1
armchair	furniture	poltrona	24	1	used_for_sitting	sf	17608	9.7761086232063	8	3	7	6	0.857143	0.671429	0.826349	6	1.000000	2.24172809732236	D	0.5
armchair	furniture	poltrona	19	2	is_comfortable	ie	17608	9.7761086232063	8	3	7	6	0.857143	0.671429	0.826349	6	1.000000	2.24172809732236	D	0.5
armchair	furniture	poltrona	12	3	furniture	ch	17608	9.7761086232063	8	3	7	6	0.857143	0.671429	0.826349	6	1.000000	2.24172809732236	ND	0.2
armchair	furniture	poltrona	9	4	is_upholstered	esi	17608	9.7761086232063	8	3	7	6	0.857143	0.671429	0.826349	6	1.000000	2.24172809732236	D	1
armchair	furniture	poltrona	7	5	is_soft	ese	17608	9.7761086232063	8	3	7	6	0.857143	0.671429	0.826349	6	1.000000	2.24172809732236	D	0.5
armchair	furniture	poltrona	7	5	used_for_relaxing	sf	17608	9.7761086232063	8	3	7	6	0.857143	0.671429	0.826349	6	1.000000	2.24172809732236	D	1
armchair	furniture	poltrona	5	6	more_comfortable_than_a_chair	io	17608	9.7761086232063	8	3	7	6	0.857143	0.671429	0.826349	6	1.000000	2.24172809732236	D	1
bear	mammal	orso	26	1	an_animal	ch	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	D	0.1
bear	mammal	orso	21	2	is_large	ese	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	ND	0.111111
bear	mammal	orso	16	3	has_a_fur	ece	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	ND	0.25
bear	mammal	orso	14	4	lives_in_forests	sl	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	ND	0.333333
bear	mammal	orso	11	5	a_mammal	ch	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	ND	0.2
bear	mammal	orso	10	6	beh_-_eats_meat	eb	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	D	1
bear	mammal	orso	7	7	beh_-_eats_everything	eb	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	D	0.5
bear	mammal	orso	7	7	is_agressive	iep	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	D	1
bear	mammal	orso	5	8	beh_-_likes_honey	eb	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	D	1
bear	mammal	orso	5	8	is_dark_brown	ese	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	D	1
bear	mammal	orso	5	8	is_white	ese	16222	9.69412362463029	4	2	11	6	0.545455	0.522222	1.272172	28	0.777778	10.9164611950578	ND	0.25
bed	furniture	letto	28	1	used_for_sleeping	sf	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	21	2	has_a_mattress	ece	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	13	3	used_for_lying_down	sf	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	11	4	has_pillows	se	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	10	5	has_blankets	se	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	8	6	has_a_board	ece	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	0.5
bed	furniture	letto	8	6	used_for_resting	sf	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	1
bed	furniture	letto	6	7	an_object	ch	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	ND	0.142857
bed	furniture	letto	6	7	furniture	ch	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	ND	0.2
bed	furniture	letto	6	7	has_4_legs	ece	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	ND	0.166667
bed	furniture	letto	6	7	is_comfortable	ie	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	0.5
bed	furniture	letto	5	8	a_place	ch	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	ND	0.333333
bed	furniture	letto	5	8	is_soft	ese	85411	11.3552301771025	5	2	13	9	0.692308	0.641758	1.164098	8	0.380952	2.07032134603331	D	0.5
bridge	building	ponte	18	1	used_for_connecting_land	sf	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	10	2	a_construction	ch	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	ND	0.333333
bridge	building	ponte	9	3	found_over_rivers	sl	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	9	3	used_by_people	sp	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	8	4	used_for_crossing_rivers	sf	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	7	5	made_of_wood	em	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	ND	0.25
bridge	building	ponte	7	5	used_for_crossing	sf	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	6	6	is_high_off_ground	sl	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	5	7	a_structure	ch	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	5	7	made_of_concrete	em	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
bridge	building	ponte	5	7	used_by_cars	sp	73325	11.2026568938457	5	2	11	9	0.818182	0.871212	2.148940	9	0.900000	3.9347594216175	D	1
broom	implement	scopa	22	1	has_a_handle	ece	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714	ND	0.25
broom	implement	scopa	19	2	has_bristles	ece	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714	D	0.5
broom	implement	scopa	17	3	used_for_floor_cleaning	sf	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714	D	1
broom	implement	scopa	12	4	used_for_cleaning	sf	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714	D	1
broom	implement	scopa	9	5	a_tool	ch	4017	8.29829063435928	5	2	5	3	0.600000	0.600000	3.086945	3	1.000000	1.00404911965714	ND	0.25
bus	vehicle	autobus	34	1	a_vehicle	ch	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	ND	0.2
bus	vehicle	autobus	27	2	used_for_transportation	sf	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	ND	0.166667
bus	vehicle	autobus	17	3	used_by_many_passengers	sp	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	0.5
bus	vehicle	autobus	14	4	is_public	iep	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	1
bus	vehicle	autobus	12	5	requires_a_fare	ic	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	1
bus	vehicle	autobus	10	6	is_large	ese	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	ND	0.111111
bus	vehicle	autobus	9	7	requires_drivers	ic	35924	10.4891608747908	7	3	15	11	0.733333	0.581852	2.088843	40	0.888889	17.4550417030576	D	0.5
