WORD,,AOA,,   FAM,,IMAG,,CONC,,Adult WrtFQ,,Child Written,,,Adult,,,,Lexical,PHON:,PHON:,,VOICE,MANNER,,,,,PLACE,,,,,,VOWEL,,,
Italian,English,mean,sd,mean,sd,mean,sd,mean,sd,ILC,CoLFIS,TotFQ,CompFQ,ProdFQ,SpkFQ,NSIZE,BIGR,SYL,LET,Stress,VOICE,MANN,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,RT,,
ABETE,fir tree,3.41,1.04,5.41,1.57,6.05,1.16,4.59,2.61,3,29,31,22,9,5,2,10.74,3,5,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,508,,
ABISSO,abyss,5.20,1.29,4.98,1.53,3.84,2.24,4.77,2.12,29,24,17,13,4,1,0,10.65,3,6,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,489,,
ACCIAIO,steel,4.45,0.95,6.20,1.15,4.80,1.84,5.02,1.86,22,80,21,17,4,3,0,10.85,3,7,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,501,,
ACETO,vinegar,3.32,1.09,6.36,1.06,5.61,1.62,6.57,0.82,14,25,7,3,4,0,0,11.04,3,5,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,487,,
ACQUA,water,1.27,0.50,6.98,0.15,6.39,1.10,6.20,1.30,756,960,1122,593,529,80,0,10.39,2,5,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,477,,
AGGUATO,ambush,5.57,1.30,5.30,1.37,3.43,1.85,3.50,1.96,33,62,11,10,1,2,0,10.62,3,7,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,518,,
AGIO,comfort,5.82,1.19,4.93,2.02,2.57,1.84,3.91,2.29,5,55,10,4,6,0,0,11.09,2,4,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,510,,
AGONIA,agony,5.80,1.13,4.98,1.80,3.16,1.84,4.16,2.38,21,29,0,0,0,0,0,10.89,4,6,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,490,,
ALBERGO,hotel,3.70,0.90,6.75,0.49,5.66,1.27,6.55,1.11,141,202,66,25,43,21,0,10.14,3,7,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,494,,
ALBICOCCA,apricot,2.59,0.84,6.43,1.11,6.43,1.02,6.84,0.48,2,7,0,0,0,1,1,10.47,4,9,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,614,,
ALLUCE,big toe,4.02,1.39,4.95,1.74,5.57,1.78,4.93,2.37,3,6,0,0,0,1,0,10.71,3,6,ap,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,491,,
ALLUVIONE,flood,5.05,1.38,5.66,1.45,4.84,1.70,5.43,1.78,3,19,0,0,0,0,0,10.58,4,9,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,531,,
ALTARE,altar,3.68,0.86,6.02,1.32,5.48,1.69,6.14,1.34,45,46,13,11,2,4,0,11.36,3,6,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,518,,
ALUNNO,pupil,3.07,0.66,6.59,0.82,5.41,1.70,3.59,2.07,10,3,90,30,60,3,0,10.96,3,6,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,502,,
AMNISTIA,amnesty,6.18,1.06,3.41,1.81,1.89,1.47,4.23,2.29,12,7,0,0,0,11,0,10.24,4,8,p,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,575,,
ANATRA,duck,3.27,1.00,5.68,1.36,5.64,1.75,6.84,0.43,3,5,39,28,11,1,0,11.38,3,6,ap,voiced,vowel,1,0,0,0,0,0,0,0,0,0,0,0,1,519,,
