word;category;group
cane;animal;target;dog
gatto;animal;target;cat
cavallo;animal;target;horse
leone;animal;target;lion
coniglio;animal;target;rabbit
pollo;animal;target;chicken
topo;animal;target;mouse
aquila;animal;target;hawk
mucca;animal;target;cow
tartaruga;animal;target;tortoise
letto;object;target;bed
carta;object;target;paper
tavolo;object;target;table
piatto;object;target;dish
camera;object;target;room
ascia;object;target;ax
coltello;object;target;knife
radio;object;target;radio
computer;object;target;computer
vite;object;target;screw_02
furetto;animal;filler;ferret_02
balena;animal;filler;whale_02
zebra;animal;filler;zebra
giraffa;animal;filler;giraffe
capra;animal;filler;goat
delfino;animal;filler;dolphinfish_02
medusa;animal;filler;jellyfish_02
agnello;animal;filler;lamb
elefante;animal;filler;elephant
pinguino;animal;filler;penguin
foca;animal;filler;earless seal
asino;animal;filler;domestic ass
scimmia;animal;filler;monkey
corvo;animal;filler;crow
leopardo;animal;filler;leopard_02
divano;object;filler;sofa
chiodo;object;filler;nail_02
tazza;object;filler;cup
mattarello;object;filler;rolling pin
telefono;object;filler;telephone
lavatrice;object;filler;washing machine
busta;object;filler;envelope
penna;object;filler;pen
pentola;object;filler;pan
sega;object;filler;saw_02
pinza;object;filler;tongs
sedia;object;filler;chair
armadio;object;filler;wardrobe
forchetta;object;filler;fork
ciotola;object;filler;bowl
