Word	Category
orso	bear	animal
cane	dog	animal
cavallo	horse	animal
scimmia	monkey	animal
gufo	owl	animal
coniglio	rabbit	animal
gabbiano	seagull	animal
passero	sparrow	animal
elefante	elephant	animal
gatto	cat	animal
leone	lion	animal
maiale	pork	animal
mucca	cow	animal
serpente	snake	animal
tigre	tiger	animal
topo	mouse	animal
poltrona	armchair	object
letto	bed	object
scopa	broom	object
sedia	chair	object
camicia	chemise	object
armadio	closet	object
pettine	comb	object
giacca	jacket	object
pennello	paintbrush	object
spada	sword	object
gomma	rubber	object
pastello	pastel	object
penna	pen	object
quaderno	copybook	object
tenda	curtain	object
vaso	vase	object
