Condition	time point	p-value	t-value
correct	-0.07792968750000001	0.0033333333333332993	2.7321419372217384
correct	-0.07304687500000001	0.0033333333333332993	2.7321419372217384
correct	-0.01933593750000001	0.030000000000000027	1.8879558102266485
correct	0.03925781249999999	0.046666666666666745	1.6834417068750733
correct	0.190625	0.023333333333333317	1.997592229195553
correct	0.2345703125	0.030000000000000027	1.8879558102266485
correct	0.239453125	0.01666666666666672	2.1379265281322697
correct	0.258984375	0.036666666666666736	1.797071423179137
correct	0.2638671875	0.023333333333333317	1.997592229195553
correct	0.28828125	0.040000000000000036	1.756656458005156
correct	0.3078125	0.036666666666666736	1.797071423179137
correct	0.3126953125	0.0033333333333332993	2.7321419372217384
correct	0.3322265625	0.0033333333333332993	2.7321419372217384
correct	0.337109375	0.013333333333333308	2.227371488366429
correct	0.3517578125	0.020000000000000018	2.0627472420429416
correct	0.356640625	0.0033333333333332993	2.7321419372217384
correct	0.4005859375	0.040000000000000036	1.756656458005156
correct	0.40546875	0.026666666666666727	1.9398891657341626
correct	0.4298828125	0.01666666666666672	2.1379265281322697
correct	0.434765625	0.00666666666666671	2.4895647421707716
correct	0.4396484375	0.00666666666666671	2.4895647421707716
correct	0.44453125	0.043333333333333335	1.718905160438891
