Condition	time point	p-value	t-value
high	0.02460937499999999	0.030000000000000027	1.8879558102266485
high	0.02949218749999999	0.0033333333333332993	2.7321419372217384
high	0.03437499999999999	0.0033333333333332993	2.7321419372217384
high	0.03925781249999999	0.020000000000000018	2.0627472420429416
high	0.05390624999999999	0.026666666666666727	1.9398891657341626
high	0.05878906249999999	0.020000000000000018	2.0627472420429416
high	0.06367187499999999	0.030000000000000027	1.8879558102266485
high	0.11249999999999999	0.046666666666666745	1.6834417068750733
high	0.11738281249999999	0.01666666666666672	2.1379265281322697
high	0.12226562499999999	0.043333333333333335	1.718905160438891
high	0.13203125	0.046666666666666745	1.6834417068750733
high	0.63984375	0.043333333333333335	1.718905160438891
high	0.6447265625	0.033333333333333326	1.840629407786611
high	0.6544921875	0.040000000000000036	1.756656458005156
high	0.659375	0.020000000000000018	2.0627472420429416
high	0.6642578125	0.040000000000000036	1.756656458005156
high	0.67890625	0.033333333333333326	1.840629407786611
high	0.6837890625	0.01666666666666672	2.1379265281322697
high	0.688671875	0.00666666666666671	2.4895647421707716
high	0.6935546875	0.0033333333333332993	2.7321419372217384
high	0.6984375	0.010000000000000009	2.33888392484682
high	0.7033203125	0.033333333333333326	1.840629407786611
high	0.7326171875	0.040000000000000036	1.756656458005156
