Condition	time point	p-value	t-value
low	-0.1267578125	0.026666666666666727	1.9398891657341626
low	-0.12187500000000001	0.030000000000000027	1.8879558102266485
low	-0.06816406250000001	0.030000000000000027	1.8879558102266485
low	0.2248046875	0.00666666666666671	2.4895647421707716
low	0.2296875	0.0	inf
low	0.2345703125	0.0033333333333332993	2.7321419372217384
low	0.239453125	0.033333333333333326	1.840629407786611
low	0.5666015625	0.043333333333333335	1.718905160438891
low	0.571484375	0.013333333333333308	2.227371488366429
low	0.5763671875	0.00666666666666671	2.4895647421707716
low	0.58125	0.033333333333333326	1.840629407786611
low	0.610546875	0.043333333333333335	1.718905160438891
low	0.6740234375	0.046666666666666745	1.6834417068750733
low	0.67890625	0.026666666666666727	1.9398891657341626
low	0.6837890625	0.026666666666666727	1.9398891657341626
low	0.688671875	0.030000000000000027	1.8879558102266485
low	0.6935546875	0.030000000000000027	1.8879558102266485
low	0.6984375	0.030000000000000027	1.8879558102266485
low	0.7033203125	0.020000000000000018	2.0627472420429416
low	0.708203125	0.033333333333333326	1.840629407786611
low	0.7130859375	0.033333333333333326	1.840629407786611
low	0.71796875	0.023333333333333317	1.997592229195553
low	0.7228515625	0.010000000000000009	2.33888392484682
low	0.727734375	0.00666666666666671	2.4895647421707716
low	0.7326171875	0.020000000000000018	2.0627472420429416
low	0.7375	0.026666666666666727	1.9398891657341626
low	0.79609375	0.030000000000000027	1.8879558102266485
low	0.8009765625	0.01666666666666672	2.1379265281322697
low	0.805859375	0.020000000000000018	2.0627472420429416
low	0.8107421875	0.033333333333333326	1.840629407786611
low	0.815625	0.030000000000000027	1.8879558102266485
low	0.8546875	0.046666666666666745	1.6834417068750733
low	0.8595703125	0.043333333333333335	1.718905160438891
low	0.864453125	0.033333333333333326	1.840629407786611
low	0.87421875	0.046666666666666745	1.6834417068750733
low	0.8791015625	0.040000000000000036	1.756656458005156
low	0.883984375	0.033333333333333326	1.840629407786611
low	0.8888671875	0.01666666666666672	2.1379265281322697
low	0.89375	0.01666666666666672	2.1379265281322697
low	0.8986328125	0.020000000000000018	2.0627472420429416
low	0.903515625	0.026666666666666727	1.9398891657341626
low	0.9083984375	0.030000000000000027	1.8879558102266485
low	0.91328125	0.043333333333333335	1.718905160438891
low	0.9181640625	0.046666666666666745	1.6834417068750733
low	0.923046875	0.046666666666666745	1.6834417068750733
low	0.942578125	0.026666666666666727	1.9398891657341626
low	0.9474609375	0.043333333333333335	1.718905160438891
low	0.962109375	0.040000000000000036	1.756656458005156
low	1.03046875	0.010000000000000009	2.33888392484682
low	1.0353515625	0.00666666666666671	2.4895647421707716
low	1.040234375	0.00666666666666671	2.4895647421707716
low	1.0451171875	0.020000000000000018	2.0627472420429416
low	1.05	0.026666666666666727	1.9398891657341626
low	1.0548828125	0.043333333333333335	1.718905160438891
