Condition	time point	p-value	t-value
correct	-0.2	0.020000000000000018	2.0627472420429416
correct	-0.03398437500000001	0.00666666666666671	2.4895647421707716
correct	0.12226562499999999	0.013333333333333308	2.227371488366429
correct	0.13203125	0.0033333333333332993	2.7321419372217384
correct	0.17109375	0.010000000000000009	2.33888392484682
correct	0.415234375	0.043333333333333335	1.718905160438891
correct	0.454296875	0.0033333333333332993	2.7321419372217384
correct	0.4640625	0.013333333333333308	2.227371488366429
correct	0.688671875	0.046666666666666745	1.6834417068750733
correct	0.708203125	0.0033333333333332993	2.7321419372217384
correct	0.727734375	0.013333333333333308	2.227371488366429
correct	0.747265625	0.040000000000000036	1.756656458005156
correct	0.7765625	0.020000000000000018	2.0627472420429416
correct	0.805859375	0.046666666666666745	1.6834417068750733
correct	0.815625	0.040000000000000036	1.756656458005156
correct	0.83515625	0.046666666666666745	1.6834417068750733
correct	0.8546875	0.020000000000000018	2.0627472420429416
correct	1.059765625	0.026666666666666727	1.9398891657341626
correct	1.06953125	0.0	inf
