Condition	time point	p-value	t-value
wrong	0.10273437499999999	0.026666666666666727	1.9398891657341626
wrong	0.180859375	0.046666666666666745	1.6834417068750733
wrong	0.200390625	0.030000000000000027	1.8879558102266485
wrong	0.21015625	0.0	inf
wrong	0.219921875	0.01666666666666672	2.1379265281322697
wrong	0.24921875	0.03500000000000003	1.8184225061673422
wrong	0.7765625	0.020000000000000018	2.0627472420429416
wrong	0.786328125	0.0	inf
wrong	0.79609375	0.0	inf
wrong	0.805859375	0.0	inf
wrong	0.844921875	0.01666666666666672	2.1379265281322697
wrong	0.8546875	0.030000000000000027	1.8879558102266485
