Condition	time point	p-value	t-value
low	0.05390624999999999	0.043333333333333335	1.718905160438891
low	0.11249999999999999	0.020000000000000018	2.0627472420429416
low	0.161328125	0.033333333333333326	1.840629407786611
low	0.219921875	0.0	inf
low	0.493359375	0.0033333333333332993	2.7321419372217384
low	0.532421875	0.026666666666666727	1.9398891657341626
low	0.5421875	0.026666666666666727	1.9398891657341626
low	0.571484375	0.010000000000000009	2.33888392484682
low	0.58125	0.033333333333333326	1.840629407786611
low	0.67890625	0.046666666666666745	1.6834417068750733
low	0.825390625	0.046666666666666745	1.6834417068750733
low	0.83515625	0.043333333333333335	1.718905160438891
low	0.864453125	0.020000000000000018	2.0627472420429416
low	1.001171875	0.0033333333333332993	2.7321419372217384
