Condition	time point	p-value	t-value
low	-0.14140625	0.0	inf
low	-0.131640625	0.036666666666666736	1.797071423179137
low	0.05390624999999999	0.026666666666666727	1.9398891657341626
low	0.06367187499999999	0.010000000000000009	2.33888392484682
low	0.493359375	0.043333333333333335	1.718905160438891
low	0.58125	0.040000000000000036	1.756656458005156
low	0.923046875	0.036666666666666736	1.797071423179137
low	0.9328125	0.0033333333333332993	2.7321419372217384
low	0.942578125	0.043333333333333335	1.718905160438891
low	1.001171875	0.043333333333333335	1.718905160438891
low	1.0109375	0.036666666666666736	1.797071423179137
