Condition	time point	p-value	t-value
high	0.014843749999999989	0.043333333333333335	1.718905160438891
high	0.02460937499999999	0.013333333333333308	2.227371488366429
high	0.298046875	0.0033333333333332993	2.7321419372217384
high	0.3078125	0.013333333333333308	2.227371488366429
high	0.356640625	0.01666666666666672	2.1379265281322697
high	0.36640625	0.033333333333333326	1.840629407786611
high	0.44453125	0.023333333333333317	1.997592229195553
high	0.4640625	0.040000000000000036	1.756656458005156
high	0.48359375	0.023333333333333317	1.997592229195553
high	0.493359375	0.010000000000000009	2.33888392484682
