Condition	time point	p-value	t-value
high	-0.2	0.036666666666666736	1.797071423179137
high	-0.06328125000000001	0.0033333333333332993	2.7321419372217384
high	0.005078124999999989	0.0	inf
high	0.014843749999999989	0.013333333333333308	2.227371488366429
high	0.02460937499999999	0.0	inf
high	0.07343749999999999	0.0033333333333332993	2.7321419372217384
high	0.09296874999999999	0.0	inf
high	0.11249999999999999	0.040000000000000036	1.756656458005156
high	0.21015625	0.023333333333333317	1.997592229195553
high	0.9328125	0.030000000000000027	1.8879558102266485
