Condition	time point	p-value	t-value
low	-0.004687500000000011	0.020000000000000018	2.0627472420429416
low	0.014843749999999989	0.01666666666666672	2.1379265281322697
low	0.04414062499999999	0.00666666666666671	2.4895647421707716
low	0.05390624999999999	0.043333333333333335	1.718905160438891
low	0.17109375	0.020000000000000018	2.0627472420429416
low	0.473828125	0.046666666666666745	1.6834417068750733
low	0.48359375	0.046666666666666745	1.6834417068750733
low	0.493359375	0.023333333333333317	1.997592229195553
low	0.532421875	0.033333333333333326	1.840629407786611
low	0.5421875	0.030000000000000027	1.8879558102266485
low	0.551953125	0.030000000000000027	1.8879558102266485
low	0.56171875	0.030000000000000027	1.8879558102266485
low	0.571484375	0.023333333333333317	1.997592229195553
low	0.58125	0.020000000000000018	2.0627472420429416
low	0.591015625	0.030000000000000027	1.8879558102266485
low	0.60078125	0.030000000000000027	1.8879558102266485
low	0.6203125	0.026666666666666727	1.9398891657341626
low	0.630078125	0.013333333333333308	2.227371488366429
low	0.63984375	0.046666666666666745	1.6834417068750733
low	0.786328125	0.01666666666666672	2.1379265281322697
low	0.9328125	0.043333333333333335	1.718905160438891
