Condition	time point	p-value	t-value
high	0.2296875	0.040000000000000036	1.756656458005156
high	0.571484375	0.023333333333333317	1.997592229195553
high	0.58125	0.0	inf
high	0.591015625	0.030000000000000027	1.8879558102266485
high	0.659375	0.010000000000000009	2.33888392484682
high	0.7375	0.026666666666666727	1.9398891657341626
high	0.75703125	0.020000000000000018	2.0627472420429416
high	0.766796875	0.020000000000000018	2.0627472420429416
high	0.864453125	0.030000000000000027	1.8879558102266485
high	1.06953125	0.030000000000000027	1.8879558102266485
high	1.079296875	0.023333333333333317	1.997592229195553
high	1.0890625	0.040000000000000036	1.756656458005156
