Condition	time point	p-value	t-value
high	-0.04375000000000001	0.023333333333333317	1.997592229195553
high	0.298046875	0.0033333333333332993	2.7321419372217384
high	0.3078125	0.010000000000000009	2.33888392484682
high	0.32734375	0.013333333333333308	2.227371488366429
high	0.337109375	0.023333333333333317	1.997592229195553
high	0.71796875	0.033333333333333326	1.840629407786611
high	0.766796875	0.023333333333333317	1.997592229195553
high	0.7765625	0.043333333333333335	1.718905160438891
high	0.864453125	0.00666666666666671	2.4895647421707716
high	0.87421875	0.0033333333333332993	2.7321419372217384
high	0.883984375	0.033333333333333326	1.840629407786611
high	0.923046875	0.0033333333333332993	2.7321419372217384
high	1.06953125	0.01666666666666672	2.1379265281322697
high	1.079296875	0.033333333333333326	1.840629407786611
