Condition	time point	p-value	t-value
low	-0.190234375	0.013333333333333308	2.227371488366429
low	0.21015625	0.033333333333333326	1.840629407786611
low	0.298046875	0.00666666666666671	2.4895647421707716
low	0.425	0.043333333333333335	1.718905160438891
low	0.5421875	0.0	inf
low	0.551953125	0.0	inf
low	0.630078125	0.020000000000000018	2.0627472420429416
low	0.708203125	0.0	inf
low	0.805859375	0.043333333333333335	1.718905160438891
low	0.815625	0.026666666666666727	1.9398891657341626
low	0.825390625	0.030000000000000027	1.8879558102266485
low	0.844921875	0.026666666666666727	1.9398891657341626
low	0.8546875	0.010000000000000009	2.33888392484682
low	0.89375	0.026666666666666727	1.9398891657341626
low	0.903515625	0.0	inf
low	0.962109375	0.043333333333333335	1.718905160438891
low	1.001171875	0.023333333333333317	1.997592229195553
low	1.0109375	0.043333333333333335	1.718905160438891
