Condition	time point	p-value	t-value
low	-0.09257812500000001	0.026666666666666727	1.9398891657341626
low	-0.08281250000000001	0.01666666666666672	2.1379265281322697
low	0.425	0.010000000000000009	2.33888392484682
low	0.52265625	0.0	inf
low	0.532421875	0.0033333333333332993	2.7321419372217384
low	0.5421875	0.0033333333333332993	2.7321419372217384
low	0.659375	0.036666666666666736	1.797071423179137
low	0.727734375	0.033333333333333326	1.840629407786611
low	0.805859375	0.036666666666666736	1.797071423179137
low	1.001171875	0.043333333333333335	1.718905160438891
low	1.0109375	0.033333333333333326	1.840629407786611
