Condition	time point	p-value	t-value
low	-0.03398437500000001	0.0	inf
low	0.44453125	0.01666666666666672	2.1379265281322697
low	0.454296875	0.046666666666666745	1.6834417068750733
low	0.4640625	0.030000000000000027	1.8879558102266485
low	0.591015625	0.036666666666666736	1.797071423179137
low	0.708203125	0.020000000000000018	2.0627472420429416
low	0.71796875	0.030000000000000027	1.8879558102266485
low	0.87421875	0.01666666666666672	2.1379265281322697
low	0.883984375	0.00666666666666671	2.4895647421707716
low	0.89375	0.010000000000000009	2.33888392484682
