Condition	time point	p-value	t-value
high	-0.170703125	0.033333333333333326	1.840629407786611
high	-0.12187500000000001	0.0033333333333332993	2.7321419372217384
high	-0.11210937500000001	0.013333333333333308	2.227371488366429
high	-0.02421875000000001	0.010000000000000009	2.33888392484682
high	0.52265625	0.046666666666666745	1.6834417068750733
high	0.532421875	0.00666666666666671	2.4895647421707716
high	0.5421875	0.010000000000000009	2.33888392484682
high	0.551953125	0.013333333333333308	2.227371488366429
high	0.56171875	0.013333333333333308	2.227371488366429
high	0.571484375	0.033333333333333326	1.840629407786611
high	0.58125	0.040000000000000036	1.756656458005156
