Condition	time point	p-value	t-value
high	-0.11210937500000001	0.023333333333333317	1.997592229195553
high	-0.08281250000000001	0.030000000000000027	1.8879558102266485
high	-0.07304687500000001	0.036666666666666736	1.797071423179137
high	0.02460937499999999	0.033333333333333326	1.840629407786611
high	0.03437499999999999	0.043333333333333335	1.718905160438891
high	0.04414062499999999	0.036666666666666736	1.797071423179137
high	0.09296874999999999	0.0	inf
high	0.10273437499999999	0.0033333333333332993	2.7321419372217384
high	0.13203125	0.040000000000000036	1.756656458005156
high	0.1515625	0.043333333333333335	1.718905160438891
