word;category;group
cane;animal;target
gatto;animal;target
cavallo;animal;target
leone;animal;target
coniglio;animal;target
pollo;animal;target
topo;animal;target
aquila;animal;target
mucca;animal;target
tartaruga;animal;target
letto;object;target
carta;object;target
tavolo;object;target
piatto;object;target
camera;object;target
ascia;object;target
coltello;object;target
radio;object;target
computer;object;target
vite;object;target
furetto;animal;filler
balena;animal;filler
zebra;animal;filler
giraffa;animal;filler
capra;animal;filler
delfino;animal;filler
medusa;animal;filler
agnello;animal;filler
elefante;animal;filler
pinguino;animal;filler
foca;animal;filler
asino;animal;filler
scimmia;animal;filler
corvo;animal;filler
leopardo;animal;filler
divano;object;filler
chiodo;object;filler
tazza;object;filler
mattarello;object;filler
telefono;object;filler
lavatrice;object;filler
busta;object;filler
penna;object;filler
pentola;object;filler
sega;object;filler
pinza;object;filler
sedia;object;filler
armadio;object;filler
forchetta;object;filler
ciotola;object;filler
